t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
3.0397,1790114438.0079,idle,,,,,,,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1534,1790114438.1218,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0100,-49.9800,-60.0000,0.0100,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.2778,1790114438.2463,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0100,-49.9900,-60.0100,0.0100,-39.9800,0.0000,-0.0300,0.2400,0.0000,0.0000,0.0000,0.0000
3.3985,1790114438.3672,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0100,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.5160,1790114438.4846,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0200,-49.9600,-60.0000,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.6338,1790114438.6021,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.7582,1790114438.7268,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9600,-60.0100,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.8828,1790114438.8512,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0400,-49.9600,-60.0100,0.0000,-39.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.0072,1790114438.9758,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0200,-49.9700,-60.0100,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.1258,1790114439.0942,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.2432,1790114439.2117,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0400,-49.9700,-60.0100,0.0100,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.3713,1790114439.3398,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0000,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.4927,1790114439.4609,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0000,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.6096,1790114439.5781,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0100,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.7309,1790114439.6994,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0200,-49.9700,-60.0200,0.0100,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.8486,1790114439.8169,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0200,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.9616,1790114439.9302,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0864,1790114440.0549,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.2073,1790114440.1759,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0200,-49.9600,-60.0100,0.0000,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3283,1790114440.2968,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0000,0.0100,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4420,1790114440.4104,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0100,-39.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.5532,1790114440.5216,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0000,0.0000,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.6629,1790114440.6314,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9700,-60.0100,0.0100,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.7839,1790114440.7525,rest,-0.0200,-49.9800,-60.0000,0.0100,-39.9900,0.0000,-0.0300,-49.9800,-60.0100,0.0100,-39.9800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
