t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
0.0673,1790115944.3085,idle,,,,,,,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.1792,1790115944.4204,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9200,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.2872,1790115944.5282,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0000,-39.8600,0.0000,0.0000,0.0000,0.2800,0.0500,0.0000,0.0000
0.3915,1790115944.6327,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9200,-59.9100,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.4963,1790115944.7373,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0000,-39.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6087,1790115944.8497,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.7204,1790115944.9614,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.8356,1790115945.0768,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.9431,1790115945.1844,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0000,-39.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.0584,1790115945.2996,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.1746,1790115945.4157,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.3007,1790115945.5418,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9400,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.4159,1790115945.6569,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9500,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5321,1790115945.7731,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.6399,1790115945.8810,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9500,-59.8900,0.0000,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.7447,1790115945.9856,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9500,-59.9000,0.0000,-39.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8559,1790115946.0970,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9400,-59.9000,0.0000,-39.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9647,1790115946.2059,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9300,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.0837,1790115946.3249,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9100,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1956,1790115946.4366,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9000,0.0000,-39.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.3033,1790115946.5444,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.4158,1790115946.6569,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9200,0.0000,-39.8700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5237,1790115946.7649,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6279,1790115946.8692,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9300,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7437,1790115946.9846,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8517,1790115947.0927,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9500,-59.9000,0.0000,-39.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9675,1790115947.2087,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9500,-59.8900,0.0000,-39.8600,0.0000,0.0000,0.4800,0.0000,0.0000,0.0000,0.0000
3.0795,1790115947.3202,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0100,-49.9300,-59.8900,0.0000,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.1874,1790115947.4282,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0300,-49.9300,-59.8900,0.0000,-39.8400,0.0000,-0.1900,0.0000,-0.3200,0.0000,0.0000,0.0000
3.2994,1790115947.5406,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.4050,1790115947.6456,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.5156,1790115947.7566,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0100,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.6234,1790115947.8646,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9200,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.7283,1790115947.9694,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9300,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.8513,1790115948.0925,play,0.0000,-49.9300,-59.9200,0.0000,-39.8700,-0.0100,0.0000,-49.9400,-59.9100,0.0200,-39.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
