t_s,commanded_position,force_pct,initialised,grip_state,position
0.145,1000,20,1,1,1000
0.233,1000,20,1,1,1000
0.333,1000,20,1,1,1000
0.435,1000,20,1,1,1000
0.533,1000,20,1,1,1000
0.633,1000,20,1,1,1000
0.734,1000,20,1,1,1000
0.834,1000,20,1,1,1000
0.935,1000,20,1,1,1000
1.034,1000,20,1,1,1000
1.133,1000,20,1,1,1000
1.234,1000,20,1,1,1000
1.333,1000,20,1,1,1000
1.435,1000,20,1,1,1000
1.533,1000,20,1,1,1000
1.633,1000,20,1,1,1000
1.735,1000,20,1,1,1000
1.834,1000,20,1,1,1000
1.934,1000,20,1,1,1000
2.035,1000,20,1,1,1000
2.134,1000,20,1,1,1000
2.234,1000,20,1,1,1000
2.334,1000,20,1,1,1000
2.435,1000,20,1,1,1000
2.533,1000,20,1,1,1000
2.633,1000,20,1,1,1000
2.733,1000,20,1,1,1000
2.832,1000,20,1,1,1000
2.933,1000,20,1,1,1000
3.032,1000,20,1,1,1000
3.133,1000,20,1,1,1000
3.233,1000,20,1,1,1000
3.333,1000,20,1,1,1000
3.433,1000,20,1,1,1000
3.533,1000,20,1,1,1000
3.632,1000,20,1,1,1000
3.733,1000,20,1,1,1000
3.833,1000,20,1,1,1000
3.933,1000,20,1,1,1000
4.033,1000,20,1,1,1000
4.133,1000,20,1,1,1000
4.233,1000,20,1,1,1000
4.334,1000,20,1,1,1000
4.434,1000,20,1,1,1000
4.535,1000,20,1,1,1000
4.633,1000,20,1,1,1000
4.733,1000,20,1,1,1000
4.834,1000,20,1,1,1000
4.933,1000,20,1,1,1000
5.034,1000,20,1,1,1000
5.134,1000,20,1,1,1000
5.233,1000,20,1,1,1000
5.335,1000,20,1,1,1000
5.433,1000,20,1,1,1000
5.535,1000,20,1,1,1000
5.635,1000,20,1,1,1000
5.734,1000,20,1,1,1000
5.834,1000,20,1,1,1000
5.934,1000,20,1,1,1000
6.033,1000,20,1,1,1000
6.134,1000,20,1,1,1000
6.234,1000,20,1,1,1000
6.333,1000,20,1,1,1000
6.433,1000,20,1,1,1000
6.534,1000,20,1,1,1000
6.632,1000,20,1,1,1000
6.734,1000,20,1,1,1000
6.834,1000,20,1,1,1000
6.934,1000,20,1,1,1000
7.034,1000,20,1,1,1000
7.135,1000,20,1,1,1000
7.234,1000,20,1,1,1000
7.334,1000,20,1,1,1000
7.435,1000,20,1,1,1000
7.535,1000,20,1,1,1000
7.634,1000,20,1,1,1000
7.734,1000,20,1,1,1000
7.835,1000,20,1,1,1000
7.936,1000,20,1,1,1000
8.035,1000,20,1,1,1000
8.133,1000,20,1,1,1000
8.233,1000,20,1,1,1000
8.333,1000,20,1,1,1000
8.433,1000,20,1,1,1000
8.533,1000,20,1,1,1000
8.633,1000,20,1,1,1000
8.733,1000,20,1,1,1000
8.833,1000,20,1,1,1000
8.932,1000,20,1,1,1000
9.032,1000,20,1,1,1000
9.133,1000,20,1,1,1000
9.233,1000,20,1,1,1000
9.334,1000,20,1,1,1000
9.434,1000,20,1,1,1000
9.533,1000,20,1,1,1000
9.634,1000,20,1,1,1000
9.786,1000,20,1,1,1000
9.855,1000,20,1,1,1000
9.934,1000,20,1,1,1000
10.033,1000,20,1,1,1000
10.133,1000,20,1,1,1000
10.234,1000,20,1,1,1000
10.334,1000,20,1,1,1000
10.434,1000,20,1,1,1000
10.533,1000,20,1,1,1000
10.633,1000,20,1,1,1000
10.733,1000,20,1,1,1000
10.833,1000,20,1,1,1000
10.935,1000,20,1,1,1000
11.033,1000,20,1,1,1000
11.134,1000,20,1,1,1000
11.233,1000,20,1,1,1000
11.333,1000,20,1,1,1000
11.433,1000,20,1,1,1000
11.534,1000,20,1,1,1000
11.633,1000,20,1,1,1000
11.734,1000,20,1,1,1000
11.833,1000,20,1,1,1000
11.933,1000,20,1,1,1000
12.033,1000,20,1,1,1000
12.133,1000,20,1,1,1000
12.235,1000,20,1,1,1000
12.333,1000,20,1,1,1000
12.433,1000,20,1,1,1000
12.534,1000,20,1,1,1000
12.632,1000,20,1,1,1000
12.733,1000,20,1,1,1000
12.833,1000,20,1,1,1000
12.932,1000,20,1,1,1000
13.032,1000,20,1,1,1000
13.133,1000,20,1,1,1000
13.235,1000,20,1,1,1000
13.333,1000,20,1,1,1000
13.433,1000,20,1,1,1000
13.533,1000,20,1,1,1000
13.633,1000,20,1,1,1000
13.734,1000,20,1,1,1000
13.833,1000,20,1,1,1000
13.935,1000,20,1,1,1000
14.033,1000,20,1,1,1000
14.134,1000,20,1,1,1000
14.235,1000,20,1,1,1000
14.335,1000,20,1,1,1000
14.434,1000,20,1,1,1000
14.535,1000,20,1,1,1000
14.634,1000,20,1,1,1000
14.735,1000,20,1,1,1000
14.835,1000,20,1,1,1000
14.934,1000,20,1,1,1000
15.033,1000,20,1,1,1000
15.134,1000,20,1,1,1000
15.233,1000,20,1,1,1000
15.335,1000,20,1,1,1000
15.435,1000,20,1,1,1000
15.535,1000,20,1,1,1000
15.633,1000,20,1,1,1000
15.733,1000,20,1,1,1000
15.834,1000,20,1,1,1000
15.934,1000,20,1,1,1000
16.033,1000,20,1,1,1000
16.133,1000,20,1,1,1000
16.235,1000,20,1,1,1000
16.334,1000,20,1,1,1000
16.434,1000,20,1,1,1000
16.535,1000,20,1,1,1000
16.633,1000,20,1,1,1000
16.734,1000,20,1,1,1000
16.834,1000,20,1,1,1000
16.934,1000,20,1,1,1000
17.034,1000,20,1,1,1000
17.134,1000,20,1,1,1000
17.235,1000,20,1,1,1000
17.333,1000,20,1,1,1000
17.434,1000,20,1,1,1000
17.535,1000,20,1,1,1000
17.635,1000,20,1,1,1000
17.736,1000,20,1,1,1000
17.835,1000,20,1,1,1000
17.933,1000,20,1,1,1000
18.041,1000,20,1,1,1000
18.134,1000,20,1,1,1000
18.233,1000,20,1,1,1000
18.332,1000,20,1,1,1000
18.432,1000,20,1,1,1000
18.487,1000,20,1,1,1000
18.588,1000,20,1,1,1000
18.687,1000,20,1,1,1000
18.787,1000,20,1,1,1000
18.895,1000,20,1,1,1000
19.012,1000,20,1,1,1000
19.098,1000,20,1,1,1000
19.203,1000,20,1,1,1000
19.306,1000,20,1,1,1000
19.421,1000,20,1,1,1000
19.49,1000,20,1,1,1000
19.587,1000,20,1,1,1000
19.699,1000,20,1,1,1000
19.796,1000,20,1,1,1000
19.889,1000,20,1,1,1000
19.991,1000,20,1,1,1000
20.087,1000,20,1,1,1000
20.187,1000,20,1,1,1000
20.287,1000,20,1,1,1000
20.387,1000,20,1,1,1000
20.486,1000,20,1,1,1000
20.586,1000,20,1,1,1000
20.686,1000,20,1,1,1000
20.787,1000,20,1,1,1000
20.886,1000,20,1,1,1000
20.987,1000,20,1,1,1000
21.086,1000,20,1,1,1000
21.187,1000,20,1,1,1000
21.29,1000,20,1,1,1000
21.388,1000,20,1,1,1000
21.487,1000,20,1,1,1000
21.588,1000,20,1,1,1000
21.688,1000,20,1,1,1000
21.791,1000,20,1,1,1000
21.887,1000,20,1,1,1000
21.987,1000,20,1,1,1000
22.087,1000,20,1,1,1000
22.186,1000,20,1,1,1000
22.287,1000,20,1,1,1000
22.388,1000,20,1,1,1000
22.487,1000,20,1,1,1000
22.587,1000,20,1,1,1000
22.687,1000,20,1,1,1000
22.787,1000,20,1,1,1000
22.888,1000,20,1,1,1000
22.987,1000,20,1,1,1000
23.088,1000,20,1,1,1000
23.187,1000,20,1,1,1000
23.287,1000,20,1,1,1000
23.387,1000,20,1,1,1000
23.487,1000,20,1,1,1000
23.587,1000,20,1,1,1000
23.687,1000,20,1,1,1000
23.788,1000,20,1,1,1000
23.886,1000,20,1,1,1000
23.987,1000,20,1,1,1000
24.089,1000,20,1,1,1000
24.19,1000,20,1,1,1000
24.288,1000,20,1,1,1000
24.388,1000,20,1,1,1000
24.487,1000,20,1,1,1000
24.587,1000,20,1,1,1000
24.687,1000,20,1,1,1000
24.788,1000,20,1,1,1000
24.888,1000,20,1,1,1000
24.987,1000,20,1,1,1000
25.088,1000,20,1,1,1000
25.187,1000,20,1,1,1000
25.288,1000,20,1,1,1000
25.387,1000,20,1,1,1000
25.487,1000,20,1,1,1000
25.587,1000,20,1,1,1000
25.686,1000,20,1,1,1000
25.79,1000,20,1,1,1000
25.886,1000,20,1,1,1000
25.987,1000,20,1,1,1000
26.087,1000,20,1,1,1000
26.19,1000,20,1,1,1000
26.287,1000,20,1,1,1000
26.386,1000,20,1,1,1000
26.487,1000,20,1,1,1000
26.587,1000,20,1,1,1000
26.687,1000,20,1,1,1000
26.786,1000,20,1,1,1000
26.887,1000,20,1,1,1000
26.988,1000,20,1,1,1000
27.087,1000,20,1,1,1000
27.187,1000,20,1,1,1000
27.287,1000,20,1,1,1000
27.387,1000,20,1,1,1000
27.488,1000,20,1,1,1000
27.587,1000,20,1,1,1000
27.688,1000,20,1,1,1000
27.788,1000,20,1,1,1000
27.887,1000,20,1,1,1000
27.987,1000,20,1,1,1000
28.087,1000,20,1,1,1000
28.187,1000,20,1,1,1000
28.289,1000,20,1,1,1000
28.387,1000,20,1,1,1000
28.488,1000,20,1,1,1000
28.588,1000,20,1,1,1000
28.687,1000,20,1,1,1000
28.787,1000,20,1,1,1000
28.887,1000,20,1,1,1000
28.987,1000,20,1,1,1000
29.087,1000,20,1,1,1000
29.187,1000,20,1,1,1000
29.287,1000,20,1,1,1000
29.387,1000,20,1,1,1000
29.487,1000,20,1,1,1000
29.587,1000,20,1,1,1000
29.687,1000,20,1,1,1000
29.787,1000,20,1,1,1000
29.887,0,20,1,0,992
29.986,0,20,1,0,899
30.086,0,20,1,0,712
30.186,0,20,1,0,452
30.287,0,20,1,0,137
30.387,0,20,1,0,15
30.486,0,20,1,1,0
30.586,0,20,1,1,0
30.686,0,20,1,1,0
30.786,0,20,1,1,0
30.887,0,20,1,1,0
30.988,0,20,1,1,0
31.087,0,20,1,1,0
31.187,0,20,1,1,0
31.287,0,20,1,1,0
31.387,0,20,1,1,0
31.488,0,20,1,1,0
31.587,0,20,1,1,0
31.687,0,20,1,1,0
31.787,0,20,1,1,0
31.887,0,20,1,1,0
31.987,0,20,1,1,0
32.087,0,20,1,1,0
32.187,0,20,1,1,0
32.287,0,20,1,1,0
32.387,0,20,1,1,0
32.487,0,20,1,1,0
32.587,0,20,1,1,0
32.687,0,20,1,1,0
32.787,0,20,1,1,0
32.887,1000,20,1,0,82
32.987,1000,20,1,0,340
33.087,1000,20,1,0,672
33.187,1000,20,1,0,950
33.287,1000,20,1,1,1000
33.388,1000,20,1,1,1000
33.487,1000,20,1,1,1000
33.587,1000,20,1,1,1000
33.687,1000,20,1,1,1000
33.787,1000,20,1,1,1000
33.887,1000,20,1,1,1000
33.987,1000,20,1,1,1000
34.087,1000,20,1,1,1000
34.187,1000,20,1,1,1000
34.288,1000,20,1,1,1000
34.387,1000,20,1,1,1000
34.487,1000,20,1,1,1000
34.587,1000,20,1,1,1000
34.687,1000,20,1,1,1000
34.787,1000,20,1,1,1000
34.888,1000,20,1,1,1000
34.987,1000,20,1,1,1000
35.087,1000,20,1,1,1000
35.187,1000,20,1,1,1000
35.287,1000,20,1,1,1000
35.387,1000,20,1,1,1000
35.487,1000,20,1,1,1000
35.587,1000,20,1,1,1000
35.688,1000,20,1,1,1000
