t_s,event,details_json
30.486,MISSED,"{""event"": ""MISSED"", ""t"": 30.486, ""position"": 0, ""force_pct"": 20, ""note"": ""closed fully without touching anything""}"
40.388,MISSED,"{""event"": ""MISSED"", ""t"": 40.388, ""position"": 0, ""force_pct"": 20, ""note"": ""closed fully without touching anything""}"
59.235,CAUGHT,"{""event"": ""CAUGHT"", ""t"": 59.235, ""position"": 943, ""diameter_mm"": 50.5, ""close_time_s"": 0.331, ""force_pct"": 20}"
60.735,SEATED,"{""event"": ""SEATED"", ""t"": 60.735, ""position"": 942, ""seat_creep"": 1, ""force_pct"": 20}"
65.735,SLIP,"{""event"": ""SLIP"", ""t"": 65.735, ""position"": 878, ""creep_since_catch"": 65, ""held_s"": 6.5, ""slipping_for_s"": 0.0, ""force_pct"": 20, ""arm_moving"": false}"
65.836,SLIP,"{""event"": ""SLIP"", ""t"": 65.836, ""position"": 702, ""creep_since_catch"": 241, ""held_s"": 6.601, ""slipping_for_s"": 0.101, ""force_pct"": 20, ""arm_moving"": false}"
65.935,SLIP,"{""event"": ""SLIP"", ""t"": 65.935, ""position"": 442, ""creep_since_catch"": 501, ""held_s"": 6.7, ""slipping_for_s"": 0.2, ""force_pct"": 20, ""arm_moving"": false}"
66.135,SLIP,"{""event"": ""SLIP"", ""t"": 66.135, ""position"": 98, ""creep_since_catch"": 845, ""held_s"": 6.9, ""slipping_for_s"": 0.4, ""force_pct"": 20, ""arm_moving"": false}"
66.235,LOST,"{""event"": ""LOST"", ""t"": 66.235, ""position"": 12, ""held_s"": 7.0, ""creep_total"": 931, ""seat_creep"": 1, ""horizons_survived"": [0.12, 0.5, 2.0], ""force_pct"": 20, ""kind"": ""GRADUAL"", ""slip_warning_s"": 0.5, ""arm_moving"": false, ""likely"": ""removed at rest (hand-over or pulled out)""}"
75.235,CAUGHT,"{""event"": ""CAUGHT"", ""t"": 75.235, ""position"": 917, ""diameter_mm"": 49.9, ""close_time_s"": 0.26, ""force_pct"": 20}"
76.736,SEATED,"{""event"": ""SEATED"", ""t"": 76.736, ""position"": 917, ""seat_creep"": 0, ""force_pct"": 20}"
79.547,RELEASED,"{""event"": ""RELEASED"", ""t"": 79.547, ""position"": 917, ""held_s"": 4.312, ""creep_total"": 0, ""seat_creep"": 0, ""horizons_survived"": [0.12, 0.5, 2.0], ""force_pct"": 20}"
94.08,CAUGHT,"{""event"": ""CAUGHT"", ""t"": 94.08, ""position"": 973, ""diameter_mm"": 51.1, ""close_time_s"": 0.188, ""force_pct"": 20}"
95.08,SLIP,"{""event"": ""SLIP"", ""t"": 95.08, ""position"": 931, ""creep_since_catch"": 42, ""held_s"": 1.0, ""slipping_for_s"": 0.0, ""force_pct"": 20, ""arm_moving"": false}"
95.38,SLIP,"{""event"": ""SLIP"", ""t"": 95.38, ""position"": 893, ""creep_since_catch"": 80, ""held_s"": 1.3, ""slipping_for_s"": 0.3, ""force_pct"": 20, ""arm_moving"": false}"
95.481,SLIP,"{""event"": ""SLIP"", ""t"": 95.481, ""position"": 727, ""creep_since_catch"": 246, ""held_s"": 1.401, ""slipping_for_s"": 0.401, ""force_pct"": 20, ""arm_moving"": false}"
95.581,SLIP,"{""event"": ""SLIP"", ""t"": 95.581, ""position"": 534, ""creep_since_catch"": 439, ""held_s"": 1.501, ""slipping_for_s"": 0.501, ""force_pct"": 20, ""arm_moving"": false}"
95.781,SLIP,"{""event"": ""SLIP"", ""t"": 95.781, ""position"": 179, ""creep_since_catch"": 794, ""held_s"": 1.701, ""slipping_for_s"": 0.701, ""force_pct"": 20, ""arm_moving"": false}"
95.98,LOST,"{""event"": ""LOST"", ""t"": 95.98, ""position"": 0, ""held_s"": 1.9, ""creep_total"": 973, ""seat_creep"": null, ""horizons_survived"": [0.12, 0.5], ""force_pct"": 20, ""kind"": ""GRADUAL"", ""slip_warning_s"": 0.9, ""arm_moving"": false, ""likely"": ""removed at rest (hand-over or pulled out)""}"
106.78,CAUGHT,"{""event"": ""CAUGHT"", ""t"": 106.78, ""position"": 985, ""diameter_mm"": 51.3, ""close_time_s"": 0.189, ""force_pct"": 20}"
108.28,SEATED,"{""event"": ""SEATED"", ""t"": 108.28, ""position"": 954, ""seat_creep"": 31, ""force_pct"": 20}"
108.979,SLIP,"{""event"": ""SLIP"", ""t"": 108.979, ""position"": 920, ""creep_since_catch"": 65, ""held_s"": 2.199, ""slipping_for_s"": 0.0, ""force_pct"": 20, ""arm_moving"": false}"
110.479,SLIP,"{""event"": ""SLIP"", ""t"": 110.479, ""position"": 898, ""creep_since_catch"": 87, ""held_s"": 3.699, ""slipping_for_s"": 1.5, ""force_pct"": 20, ""arm_moving"": false}"
110.58,SLIP,"{""event"": ""SLIP"", ""t"": 110.58, ""position"": 789, ""creep_since_catch"": 196, ""held_s"": 3.8, ""slipping_for_s"": 1.601, ""force_pct"": 20, ""arm_moving"": false}"
110.68,SLIP,"{""event"": ""SLIP"", ""t"": 110.68, ""position"": 552, ""creep_since_catch"": 433, ""held_s"": 3.9, ""slipping_for_s"": 1.701, ""force_pct"": 20, ""arm_moving"": false}"
110.88,SLIP,"{""event"": ""SLIP"", ""t"": 110.88, ""position"": 269, ""creep_since_catch"": 716, ""held_s"": 4.1, ""slipping_for_s"": 1.901, ""force_pct"": 20, ""arm_moving"": false}"
111.079,LOST,"{""event"": ""LOST"", ""t"": 111.079, ""position"": 15, ""held_s"": 4.299, ""creep_total"": 970, ""seat_creep"": 31, ""horizons_survived"": [0.12, 0.5, 2.0], ""force_pct"": 20, ""kind"": ""GRADUAL"", ""slip_warning_s"": 2.1, ""arm_moving"": false, ""likely"": ""removed at rest (hand-over or pulled out)""}"
230.387,MISSED,"{""event"": ""MISSED"", ""t"": 230.387, ""position"": 0, ""force_pct"": 20, ""note"": ""closed fully without touching anything""}"
510.956,MISSED,"{""event"": ""MISSED"", ""t"": 510.956, ""position"": 0, ""force_pct"": 20, ""note"": ""closed fully without touching anything""}"
721.462,MISSED,"{""event"": ""MISSED"", ""t"": 721.462, ""position"": 0, ""force_pct"": 20, ""note"": ""closed fully without touching anything""}"
760.857,MISSED,"{""event"": ""MISSED"", ""t"": 760.857, ""position"": 0, ""force_pct"": 20, ""note"": ""closed fully without touching anything""}"
763.957,MISSED,"{""event"": ""MISSED"", ""t"": 763.957, ""position"": 0, ""force_pct"": 20, ""note"": ""closed fully without touching anything""}"
767.057,CAUGHT,"{""event"": ""CAUGHT"", ""t"": 767.057, ""position"": 121, ""diameter_mm"": 34.0, ""close_time_s"": 0.542, ""force_pct"": 20}"
