t_recv_s,t_stamp_s,phase,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,pos1_deg,pos2_deg,pos3_deg,pos4_deg,pos5_deg,pos6_deg,vel1_dps,vel2_dps,vel3_dps,vel4_dps,vel5_dps,vel6_dps
1.7618,1790120270.1511,idle,,,,,,,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.8115,1790120270.2593,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6300,-58.9100,-3.1600,-14.4500,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.9215,1790120270.3693,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2100,-44.6200,-58.9000,-3.1600,-14.4400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0300,0.0000
2.0364,1790120270.4841,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.1512,1790120270.5991,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6300,-58.9100,-3.1600,-14.4400,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.2736,1790120270.7215,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5537,1790120270.8364,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.5541,1790120270.9587,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.6331,1790120271.0809,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4300,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7518,1790120271.1997,ramp_j6_start,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.0700,-0.2000,-44.6300,-58.9100,-3.1700,-14.4400,0.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8741,1790120271.3219,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,0.4428,-0.2000,-44.6200,-58.9100,-3.1600,-14.4300,0.0700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.9890,1790120271.4370,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,1.0006,-0.2000,-44.6200,-58.9100,-3.1500,-14.4300,0.0800,0.0000,0.0000,0.0000,0.0000,0.0000,0.9300
3.1115,1790120271.5594,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,1.7376,-0.2000,-44.6300,-58.9100,-3.1600,-14.4300,0.6200,0.0000,0.0000,0.0000,0.0000,0.0000,6.7200
3.2374,1790120271.6852,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,2.2926,-0.2000,-44.6200,-58.9000,-3.1600,-14.4400,1.5000,0.0000,0.0000,0.0000,0.0000,0.0000,5.5700
3.3563,1790120271.8040,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,2.8396,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,2.1800,0.0000,0.0000,0.0000,0.0000,0.0000,5.7300
3.4786,1790120271.9264,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,3.5727,-0.2000,-44.6300,-58.9100,-3.1600,-14.4400,2.7000,0.0000,0.0000,0.0000,0.0000,0.0000,3.4000
3.5898,1790120272.0376,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,4.1323,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,3.2900,0.0000,0.0000,0.0000,0.0000,0.0000,4.9200
3.7049,1790120272.1526,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,4.6841,-0.2100,-44.6200,-58.9100,-3.1500,-14.4400,3.9500,0.0000,0.0000,0.0000,0.0000,0.0000,6.4100
3.8232,1790120272.2711,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,5.2331,-0.2100,-44.6200,-58.9100,-3.1600,-14.4400,4.5000,0.0000,0.0000,0.0000,0.0000,0.0000,4.9800
3.9491,1790120272.3969,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,5.8000,-0.2000,-44.6200,-58.9100,-3.1600,-14.4300,5.1500,0.0000,0.0000,0.0000,0.0000,0.0000,2.2100
4.0754,1790120272.5231,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,6.5386,-0.2000,-44.6200,-58.9000,-3.1600,-14.4400,5.5700,0.0000,0.0000,0.0000,0.0000,0.0000,4.8600
4.1976,1790120275.1168,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,7.0864,-0.2100,-44.6300,-58.9200,-3.1600,-14.4400,6.2200,0.0000,0.0000,0.0000,0.0000,0.0000,5.7400
4.3201,1790120275.2391,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,7.6419,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.5600
4.4385,1790120275.3578,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,8.3883,-0.2000,-44.6200,-58.9000,-3.1600,-14.4400,7.4500,0.0000,0.0000,0.0000,0.0000,0.0000,4.8300
4.5571,1790120275.4764,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,8.9572,-0.2100,-44.6200,-58.9000,-3.1500,-14.4400,8.1300,0.0000,0.0000,0.0000,0.0000,0.0000,5.8500
4.6760,1790120275.5951,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,9.5194,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,8.6800,0.0000,0.0000,0.0000,0.0000,0.0000,4.4800
4.8023,1790120275.7214,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,10.0630,-0.2000,-44.6200,-58.9200,-3.1600,-14.4300,9.2800,0.0000,0.0000,0.0000,0.0000,0.0000,5.0400
4.9133,1790120275.8324,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,10.6142,-0.2000,-44.6200,-58.9000,-3.1600,-14.4400,9.7700,0.0000,0.0000,0.0000,0.0000,0.0000,4.1300
5.0393,1790120275.9584,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,11.3573,-0.2000,-44.6200,-58.9100,-3.1500,-14.4400,10.5200,0.0000,0.0000,0.0000,0.0000,0.0000,3.2400
5.1620,1790120276.0810,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,11.9068,-0.2100,-44.6200,-58.9100,-3.1500,-14.4300,10.7300,0.0000,0.0000,0.0000,0.0000,0.0000,1.8300
5.2803,1790120276.1993,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,12.4641,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,11.1600,0.0000,0.0000,0.0000,0.0000,0.0000,5.3400
5.4027,1790120276.3218,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,13.2215,-0.2000,-44.6200,-58.9100,-3.1600,-14.4300,12.0900,0.0000,0.0000,0.0000,0.0000,0.0000,7.3900
5.5249,1790120276.4439,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,13.7773,-0.2000,-44.6300,-58.9100,-3.1600,-14.4400,12.8100,0.0000,0.0000,0.0000,0.0000,0.0000,5.9600
5.6395,1790120276.5587,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,14.3350,-0.2000,-44.6300,-58.9000,-3.1600,-14.4300,13.6100,0.0000,0.0000,0.0000,0.0000,0.0000,4.2100
5.7548,1790120276.6739,ramp_j6_out,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,14.8776,-0.2100,-44.6200,-58.9100,-3.1600,-14.4400,13.9100,0.0000,0.0000,0.0000,0.0000,0.0000,2.6800
5.8742,1790120276.7929,ramp_j6_out_settle,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,15.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,14.3700,0.0000,0.0000,0.0000,0.0000,0.0000,4.4200
5.9919,1790120276.9110,ramp_j6_out_settle,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,15.0700,-0.2000,-44.6200,-58.9200,-3.1600,-14.4300,15.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.9600
6.1181,1790120277.0370,ramp_j6_out_settle,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,15.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,15.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.2367,1790120277.1557,ramp_j6_out_settle,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,15.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4300,15.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.3553,1790120277.2744,ramp_j6_out_settle,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,15.0700,-0.2100,-44.6300,-58.9100,-3.1500,-14.4400,15.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.4737,1790120277.3929,ramp_j6_out_settle,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,15.0700,-0.2000,-44.6200,-58.9100,-3.1600,-14.4400,15.0600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.5960,1790120277.5151,ramp_j6_out_settle,-0.2100,-44.6300,-58.9100,-3.1600,-14.4400,15.0700,-0.2000,-44.6200,-58.9000,-3.1600,-14.4400,15.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
